Gender,Category,SSC%,HSC%,classification,resource,place_of_study,attendance,GPA
Male,Rural,70,65,Government,All of them,Home,90.5,3.3
Male,Urban,70,70,Private,Internet,Library,70.5,3.3
Male,Urban,70,65,Private,All of them,Home,70.5,3.3
Male,Rural,90,65,Government,Notes given by teacher,Home,90.5,3.8
Male,Urban,90,90,Semi-Government,Internet,Home,90.5,3.3
Male,Rural,90,70,Private,Books,Library,90.5,3.3
Male,Rural,70,70,Government,All of them,Hostel/Friend's Place,70.5,2
Female,Urban,70,65,Private,Internet,Home,50.5,2
Male,Rural,70,70,Government,Internet,Hostel/Friend's Place,70.5,2.7
Male,Urban,65,70,Government,Internet,Library,90.5,3.3
Female,Urban,70,90,Government,All of them,Home,90.5,3.8
Male,Rural,70,70,Government,Notes prepare by yourself from leature,Library,90.5,3.8
Male,Rural,70,70,Government,All of them,Home,90.5,3.8
Male,Urban,90,65,Government,All of them,Hostel/Friend's Place,90.5,3.3
Male,Urban,70,70,Government,Internet,Home,90.5,3.3
Male,Urban,65,65,Government,Internet,Lab,90.5,3.8
Male,Urban,90,70,Government,All of them,Library & Home,90.5,3.8
Male,Urban,70,65,Private,Books,Library,90.5,3.3
Male,Urban,90,90,Semi-Government,All of them,Library,90.5,2.7
Male,Rural,90,70,Government,Research Paper,Home,70.5,2.7
Male,Rural,70,65,Government,All of them,Home,70.5,2.7
Male,Urban,70,70,Government,Notes prepare by yourself from leature,Home,70.5,3.3
Male,Rural,70,70,Semi-Government,All of them,Home,90.5,3.3
Male,Rural,90,70,Private,All of them,Home,70.5,3.3
Male,Rural,70,70,Semi-Government,Internet,Hostel/Friend's Place,50.5,3.3
Male,Rural,70,70,Government,All of them,Home,70.5,2
Male,Urban,70,70,Government,Notes given by teacher,Home,70.5,3.3
Female,Urban,90,70,Government,Research Paper,Home,70.5,3.8
Female,Urban,90,70,Private,Internet,Home,70.5,3.8
Female,Urban,90,70,Government,All of them,Library,70.5,3.3
Male,Urban,70,70,Private,All of them,Home,90.5,3.8
